Area_0,Area_1,Area_2,Area_3,Area_4,label
47.5,36,3,2089,4,0
47.5,52,3,2093.5,4,0
36,35,3,2099,4,0
49,37,3,2091,4,0
46,51.5,3,2100,4,0
36,3,2148.5,4,0,0
55,3,2142.5,4,0,0
38.5,13,12162.5,12,10,1
53,1154.5,12,13,12025,1
36,151,195,14,13,1
47.5,153.5,199.5,12,13,1
46.5,154,196,12,13,1
50.5,134,4,3,1948,0
53.5,125,2,3,1944.5,0
52.5,3,2086,4,0,0
39,3,2095.5,4,0,0
51,3,2149.5,4,0,0
38,3,2233.5,4,75,0
53.5,3,2218.5,4,76.5,0
37.5,3,2128,4,0,0
51.5,3,2140,4,0,0
36,3,2135,4,0,0
56,3,2142,4,0,0
35,13,12140,12,10,1
53,13,12144,14,10,1
51.5,198.5,14,13,12029,1
36,196,12,13,12026,1
52,196,12,13,12018,1
38.5,195.5,14,13,11984,1
53,98,4,3,2046.5,0
37,3,2199.5,2,0,0
53.5,3,2174,4,0,0
2,35,3,2172,4,0
2,55,3,2167.5,4,0
8,39,3,2163.5,4,0
14,54,3,2160,4,0
17.5,138,13,12194,12,1
22.5,152.5,198.5,12,13,1
24,133,1100.5,12,13,1
28.5,151.5,198.5,12,13,1
33.5,136,198.5,12,13,1
58,156,198.5,14,13,1
40.5,52.5,98.5,2,3,0
58.5,3,2114.5,4,0,0
38,51.5,3,2027,4,0
58.5,36,3,2028,4,0
37,52,3,2023.5,4,0
58.5,54,3,2030.5,4,0
35.5,53,3,2032,4,0
0,58.5,37,3,2032,0
59.5,53.5,3,2107,4,0
46.5,55,3,2103,4,0
60.5,38,3,2082.5,4,0
36,52.5,3,2095.5,4,0
37,51,3,2101,4,0
57.5,3,2161,4,0,0
36,13,12275,12,193,1
36.5,13,12137.5,14,10,1
59.5,13,12170.5,14,10,1
35,199.5,12,13,12057,1
37,3,2167.5,4,0,0
58.5,3,2119.5,4,0,0
35.5,3,2112,4,0,0
37,3,2077,4,0,0
58.5,3,2074.5,4,0,0
47,3,2071,4,0,0
58,3,2070.5,4,0,0
36,3,2065,4,0,0
58.5,13,12067,14,10,1
46.5,198,12,13,12051,1
47,195.5,14,13,12122.5,1
35.5,195,14,13,12197.5,1
37,199.5,14,13,12155,1
57.5,96,2,3,2152.5,0
47.5,98.5,2,3,2154.5,0
99.5,2,47,3,2158,0
